,col1,col2,col3
0,Seated Calibration,2021-06-14 12:06:42.045702,1472387363
1,Seated Calibration,2021-06-14 12:06:42.886997,1096702749
2,Seated Calibration,2021-06-14 12:06:43.343963,1943506901
3,Seated Calibration,2021-06-14 12:06:43.744719,1414902000
4,Seated Calibration,2021-06-14 12:06:44.139363,3076945616
5,Seated Calibration,2021-06-14 12:06:44.542181,4044803795
6,Seated Calibration,2021-06-14 12:06:44.940109,4997592746
7,Seated Calibration,2021-06-14 12:06:45.339853,4582615201
8,Seated Calibration,2021-06-14 12:06:45.744646,3980594644
9,Seated Calibration,2021-06-14 12:06:46.145401,6243333815
10,Seated1,2021-06-14 12:06:46.448461,4645323093
11,Seated1,2021-06-14 12:06:46.812670,4668946413
12,Seated1,2021-06-14 12:06:47.135945,3095282003
13,Seated1,2021-06-14 12:06:47.441613,844322560
14,Seated1,2021-06-14 12:06:47.739444,4964343835
15,Seated1,2021-06-14 12:06:48.037343,89331495
16,Seated1,2021-06-14 12:06:48.334060,4191539123
17,Seated1,2021-06-14 12:06:48.628973,6190370984
18,Seated1,2021-06-14 12:06:48.927806,7755503989
19,Seated1,2021-06-14 12:06:49.221624,5732233556
20,Seated1,2021-06-14 12:06:49.514365,4793931710
21,Seated1,2021-06-14 12:06:49.815551,981298685
22,Seated1,2021-06-14 12:06:50.109078,9694306644
23,Seated1,2021-06-14 12:06:50.410965,6119425250
24,Seated1,2021-06-14 12:06:50.708800,4270115266
25,Seated1,2021-06-14 12:06:51.007326,4797388864
26,Seated1,2021-06-14 12:06:51.304745,5551405656
27,Seated1,2021-06-14 12:06:51.605183,1293498622
28,Seated1,2021-06-14 12:06:51.905919,1697062015
29,Seated1,2021-06-14 12:06:52.203036,7854374650
30,Seated1,2021-06-14 12:06:52.501273,2841047211
31,Seated1,2021-06-14 12:06:52.801718,2359325051
32,Seated1,2021-06-14 12:06:53.101822,4164119551
33,Seated1,2021-06-14 12:06:53.399093,716304735
34,Seated1,2021-06-14 12:06:53.696727,3563958871
35,Seated1,2021-06-14 12:06:53.989783,4466723472
36,Seated1,2021-06-14 12:06:54.287331,7914798084
37,Seated1,2021-06-14 12:06:54.585617,4623614198
38,Seated1,2021-06-14 12:06:54.888831,2778157342
39,Seated1,2021-06-14 12:06:55.187606,971851576
40,Seated1,2021-06-14 12:06:55.484060,1621651088
41,Seated1,2021-06-14 12:06:55.784490,7497333365
42,Seated1,2021-06-14 12:06:56.078045,2839776322
43,Seated1,2021-06-14 12:06:56.379166,788389875
44,Seated1,2021-06-14 12:06:56.679098,8283048964
45,Seated1,2021-06-14 12:06:56.975961,6551756062
46,Seated1,2021-06-14 12:06:57.277905,2879752401
47,Seated1,2021-06-14 12:06:57.572833,5687595204
48,Seated1,2021-06-14 12:06:57.869819,7313884472
49,Seated1,2021-06-14 12:06:58.170150,8152400949
50,Seated1,2021-06-14 12:06:58.469401,6018580321
51,Seated1,2021-06-14 12:06:58.769449,7693640547
52,Seated1,2021-06-14 12:06:59.067427,2595488843
53,Seated1,2021-06-14 12:06:59.366883,1018071574
54,Seated1,2021-06-14 12:06:59.665321,1507573656
55,Seated1,2021-06-14 12:06:59.962456,5277943669
56,Seated1,2021-06-14 12:07:00.263855,4611152060
57,Seated1,2021-06-14 12:07:00.558204,8727745236
58,Seated1,2021-06-14 12:07:00.853035,8851622154
59,Seated1,2021-06-14 12:07:01.148155,2733233852
60,Seated1,2021-06-14 12:07:01.447053,4400086647
61,Seated1,2021-06-14 12:07:01.747668,6623862
62,Seated1,2021-06-14 12:07:02.045785,9296487880
63,Seated1,2021-06-14 12:07:02.347775,7268346408
64,Seated1,2021-06-14 12:07:02.647683,4995081388
65,Seated1,2021-06-14 12:07:02.942454,3340764302
66,Seated1,2021-06-14 12:07:03.238296,2760792461
67,Seated1,2021-06-14 12:07:03.537830,9894480734
68,Seated1,2021-06-14 12:07:03.835846,2111599824
69,Seated1,2021-06-14 12:07:04.137715,827506701
70,Seated1,2021-06-14 12:07:04.439652,1761157880
71,Seated1,2021-06-14 12:07:04.735462,4524278016
72,Seated1,2021-06-14 12:07:05.034455,6858720089
73,Seated1,2021-06-14 12:07:05.335159,1836926146
74,Seated1,2021-06-14 12:07:05.637287,8300849173
75,Seated1,2021-06-14 12:07:05.934063,3271877671
76,Seated1,2021-06-14 12:07:06.234514,9469411879
77,Seated1,2021-06-14 12:07:06.531041,3964928788
78,Seated1,2021-06-14 12:07:06.825900,7089726981
79,Seated1,2021-06-14 12:07:07.121494,4526877425
80,Seated1,2021-06-14 12:07:07.422530,9640030870
81,Seated1,2021-06-14 12:07:07.724044,9208178595
82,Seated1,2021-06-14 12:07:08.021157,1140090099
83,Seated1,2021-06-14 12:07:08.317892,6850525494
84,Seated1,2021-06-14 12:07:08.612230,8502107943
85,Seated1,2021-06-14 12:07:08.909046,4702963404
86,Seated1,2021-06-14 12:07:09.206482,4808004088
87,Seated1,2021-06-14 12:07:09.509163,1385872072
88,Seated1,2021-06-14 12:07:09.811030,3717202519
89,Seated1,2021-06-14 12:07:10.107451,830513426
90,Seated1,2021-06-14 12:07:10.407568,3661355635
91,Seated1,2021-06-14 12:07:10.706545,3045075241
92,Seated1,2021-06-14 12:07:11.006406,9863331630
93,Seated1,2021-06-14 12:07:11.304667,2045302144
94,Seated1,2021-06-14 12:07:11.604913,3129566887
95,Seated1,2021-06-14 12:07:11.906416,5270291807
96,Seated1,2021-06-14 12:07:12.209460,3957420011
97,Seated1,2021-06-14 12:07:12.511814,1853230276
98,Seated1,2021-06-14 12:07:12.812373,3286261179
99,Seated1,2021-06-14 12:07:13.113874,6635100799
100,Seated1,2021-06-14 12:07:13.410480,7381521196
101,Seated1,2021-06-14 12:07:13.713654,6762184794
102,Seated1,2021-06-14 12:07:14.014261,587673843
