,col1,col2,col3
0,Seated Calibration,2021-06-14 23:43:59.105820,5395355206
1,Seated Calibration,2021-06-14 23:43:59.966725,9718506777
2,Seated Calibration,2021-06-14 23:44:00.376172,9232614791
3,Seated Calibration,2021-06-14 23:44:00.776948,4868323745
4,Seated Calibration,2021-06-14 23:44:01.177975,7795076875
5,Seated Calibration,2021-06-14 23:44:01.573616,5223432294
6,Seated Calibration,2021-06-14 23:44:01.978770,4695581089
7,Seated Calibration,2021-06-14 23:44:02.375459,5460565082
8,Seated Calibration,2021-06-14 23:44:02.778012,3304773198
9,Seated Calibration,2021-06-14 23:44:03.175772,2571712895
10,seated7,2021-06-14 23:44:03.476967,3941394770
11,seated7,2021-06-14 23:44:03.844314,6704563977
12,seated7,2021-06-14 23:44:04.139239,7448657578
13,seated7,2021-06-14 23:44:04.437411,5519455407
14,seated7,2021-06-14 23:44:04.739879,9346704239
15,seated7,2021-06-14 23:44:05.033101,3042030662
16,seated7,2021-06-14 23:44:05.329656,2680613698
17,seated7,2021-06-14 23:44:05.626513,2740240855
18,seated7,2021-06-14 23:44:05.924850,2665801158
19,seated7,2021-06-14 23:44:06.220463,1863704320
20,seated7,2021-06-14 23:44:06.516555,8330174298
21,seated7,2021-06-14 23:44:06.817412,4108237685
22,seated7,2021-06-14 23:44:07.113417,8997117246
23,seated7,2021-06-14 23:44:07.410591,7609931445
24,seated7,2021-06-14 23:44:07.702447,7071572636
25,seated7,2021-06-14 23:44:08.000851,5052399312
26,seated7,2021-06-14 23:44:08.292836,4495432424
27,seated7,2021-06-14 23:44:08.585292,5367110177
28,seated7,2021-06-14 23:44:08.882556,3875097765
29,seated7,2021-06-14 23:44:09.177415,7494075955
30,seated7,2021-06-14 23:44:09.476093,7811069624
31,seated7,2021-06-14 23:44:09.778606,7458648522
32,seated7,2021-06-14 23:44:10.079031,8460164639
33,seated7,2021-06-14 23:44:10.376031,1466760191
34,seated7,2021-06-14 23:44:10.676925,3861150379
35,seated7,2021-06-14 23:44:10.973209,7453511942
36,seated7,2021-06-14 23:44:11.274880,5880785168
