,col1,col2,col3
0,Seated Calibration,2021-06-14 12:02:58.699439,8469302728
1,Seated Calibration,2021-06-14 12:02:59.478215,3212143312
2,Seated Calibration,2021-06-14 12:02:59.944594,7123259097
3,Seated Calibration,2021-06-14 12:03:00.346276,274175833
4,Seated Calibration,2021-06-14 12:03:00.744332,8320123471
5,Seated Calibration,2021-06-14 12:03:01.149406,356871601
6,Seated Calibration,2021-06-14 12:03:01.543690,7031250464
7,Seated Calibration,2021-06-14 12:03:01.943775,576180039
8,Seated Calibration,2021-06-14 12:03:02.343636,2666671365
9,Seated Calibration,2021-06-14 12:03:02.748274,6494632293
10,Seated1,2021-06-14 12:03:03.053266,2642064262
11,Seated1,2021-06-14 12:03:03.392577,1555534714
12,Seated1,2021-06-14 12:03:03.713891,913300536
13,Seated1,2021-06-14 12:03:04.006766,6070626114
14,Seated1,2021-06-14 12:03:04.303568,2076664301
15,Seated1,2021-06-14 12:03:04.596155,8550974282
16,Seated1,2021-06-14 12:03:04.894945,2105300062
17,Seated1,2021-06-14 12:03:05.189365,756685262
18,seated3,2021-06-14 12:03:05.481302,4831535701
19,Seated1,2021-06-14 12:03:05.779043,9604274723
20,Seated1,2021-06-14 12:03:06.072453,3802009753
21,Seated1,2021-06-14 12:03:06.369536,8075604451
22,Seated1,2021-06-14 12:03:06.671578,5236986255
23,Seated1,2021-06-14 12:03:06.965897,1093768218
24,seated3,2021-06-14 12:03:07.260864,5658823662
25,Seated1,2021-06-14 12:03:07.561414,1520095546
26,Seated1,2021-06-14 12:03:07.854741,1692144131
27,Seated1,2021-06-14 12:03:08.153415,3268475528
28,Seated1,2021-06-14 12:03:08.450243,9418493658
29,Seated1,2021-06-14 12:03:08.749315,3592024318
30,Seated1,2021-06-14 12:03:09.044069,5973003834
31,seated3,2021-06-14 12:03:09.344552,9559679995
32,Seated1,2021-06-14 12:03:09.641604,5709642276
33,Seated1,2021-06-14 12:03:09.938325,5081402703
34,Seated1,2021-06-14 12:03:10.232856,5654410141
35,Seated1,2021-06-14 12:03:10.530982,8746335488
36,Seated1,2021-06-14 12:03:10.828863,9033948896
37,Seated1,2021-06-14 12:03:11.129136,6336622816
38,Seated1,2021-06-14 12:03:11.426563,7624663379
39,Seated1,2021-06-14 12:03:11.721394,5576198392
40,Seated1,2021-06-14 12:03:12.015515,6324615297
41,Seated1,2021-06-14 12:03:12.308625,5467894001
42,Seated1,2021-06-14 12:03:12.602671,4909238760
43,Seated1,2021-06-14 12:03:12.897057,9259829669
44,Seated1,2021-06-14 12:03:13.195741,303314654
