,col1,col2,col3
0,Seated Calibration,2021-06-14 12:08:44.215180,6810570211
1,Seated Calibration,2021-06-14 12:08:45.074778,1764427860
2,Seated Calibration,2021-06-14 12:08:45.541769,1069932446
3,Seated Calibration,2021-06-14 12:08:45.936401,2072154549
4,Seated Calibration,2021-06-14 12:08:46.330231,469273055
5,Seated Calibration,2021-06-14 12:08:46.730519,3321904172
6,Seated Calibration,2021-06-14 12:08:47.129908,6101518005
7,Seated Calibration,2021-06-14 12:08:47.530665,7394355237
8,Seated Calibration,2021-06-14 12:08:47.933470,2722084618
9,Seated Calibration,2021-06-14 12:08:48.331858,2880020339
10,Seated1,2021-06-14 12:08:48.630255,4941024118
11,Seated1,2021-06-14 12:08:48.996753,7874409856
12,Seated1,2021-06-14 12:08:49.317497,5726695736
13,Seated1,2021-06-14 12:08:49.623464,2785616410
14,Seated1,2021-06-14 12:08:49.919300,3221863561
15,Seated1,2021-06-14 12:08:50.217865,2631114404
16,Seated1,2021-06-14 12:08:50.515215,9575761744
17,Seated1,2021-06-14 12:08:50.811934,1924896448
18,Seated1,2021-06-14 12:08:51.106730,8594477818
19,Seated1,2021-06-14 12:08:51.402214,4839319876
20,Seated1,2021-06-14 12:08:51.701344,5681296936
21,Seated1,2021-06-14 12:08:51.999197,2277773981
22,Seated1,2021-06-14 12:08:52.297374,1265328122
23,Seated1,2021-06-14 12:08:52.597367,506370094
24,Seated1,2021-06-14 12:08:52.892099,4160373482
25,Seated1,2021-06-14 12:08:53.190465,9297843561
26,Seated1,2021-06-14 12:08:53.488716,9229310508
27,Seated1,2021-06-14 12:08:53.785149,7860140247
28,Seated1,2021-06-14 12:08:54.084725,4281781683
29,Seated1,2021-06-14 12:08:54.379748,3504953308
30,seated3,2021-06-14 12:08:54.683275,1633453510
31,Seated1,2021-06-14 12:08:54.984096,8310396463
32,Seated1,2021-06-14 12:08:55.283241,3872486451
33,Seated1,2021-06-14 12:08:55.580148,7351578712
34,Seated1,2021-06-14 12:08:55.880799,4763165478
35,Seated1,2021-06-14 12:08:56.177912,4744428259
36,Seated1,2021-06-14 12:08:56.470813,5670795718
37,Seated1,2021-06-14 12:08:56.767592,330314789
38,Seated1,2021-06-14 12:08:57.065374,1130273275
39,Seated1,2021-06-14 12:08:57.368460,6638463293
40,Seated1,2021-06-14 12:08:57.669396,2100428700
41,Seated1,2021-06-14 12:08:57.967212,1505795640
42,Seated1,2021-06-14 12:08:58.260414,7233595632
43,Seated1,2021-06-14 12:08:58.559013,7101835650
44,Seated1,2021-06-14 12:08:58.857565,5274762648
45,Seated1,2021-06-14 12:08:59.157145,9932611977
46,Seated1,2021-06-14 12:08:59.453361,1750215457
47,Seated1,2021-06-14 12:08:59.751705,6158496544
48,Seated1,2021-06-14 12:09:00.047884,4695512700
49,Seated1,2021-06-14 12:09:00.346718,324181028
50,Seated1,2021-06-14 12:09:00.641540,4157711779
51,Seated1,2021-06-14 12:09:00.937757,3618384774
52,Seated1,2021-06-14 12:09:01.232495,6599837167
53,Seated1,2021-06-14 12:09:01.529112,9204057127
54,Seated1,2021-06-14 12:09:01.824371,7109630516
55,Seated1,2021-06-14 12:09:02.122901,6034028160
56,Seated1,2021-06-14 12:09:02.421418,4053375280
57,Seated1,2021-06-14 12:09:02.717218,341414444
58,Seated1,2021-06-14 12:09:03.013838,8110680125
59,Seated1,2021-06-14 12:09:03.313411,7538978383
60,Seated1,2021-06-14 12:09:03.612504,6346269530
61,Seated1,2021-06-14 12:09:03.908316,8021314303
62,Seated1,2021-06-14 12:09:04.204292,6968164504
63,Seated1,2021-06-14 12:09:04.498116,3402596805
64,Seated1,2021-06-14 12:09:04.792459,6031363653
65,Seated1,2021-06-14 12:09:05.089853,8240434139
66,Seated1,2021-06-14 12:09:05.385889,491311384
67,Seated1,2021-06-14 12:09:05.681887,8818803412
68,Seated1,2021-06-14 12:09:05.980561,853240913
69,Seated1,2021-06-14 12:09:06.278047,3056708461
70,Seated1,2021-06-14 12:09:06.575708,292322527
71,Seated1,2021-06-14 12:09:06.873903,8546359643
72,Seated1,2021-06-14 12:09:07.165959,5518106121
73,Seated1,2021-06-14 12:09:07.463014,8511065660
74,Seated1,2021-06-14 12:09:07.758677,1733748475
